Class,Precision,Recall,F1-Score,Specificity,seed
V,0.7297297297297297,0.025023169601482854,0.04838709677419355,0.9994778340556629,31
N,0.9506624271330154,0.9821516561730085,0.9661505318432745,0.6960496245510936,32
Q,0.9158590308370044,0.9966442953020134,0.9545454545454546,0.9900737969026089,32
S,0.0,0.0,0.0,0.9999516417621742,32
V,0.1711229946524064,0.0975609756097561,0.12427184466019417,0.9926190476190476,32
N,0.8874639307470343,0.9716258117357983,0.9276398469572988,0.1191969887076537,33
Q,0.0,0.0,0.0,0.9888535031847133,33
S,0.0,0.0,0.0,1.0,33
V,0.33273056057866185,0.20885357548240635,0.25662482566248257,0.9801644895984518,33
N,0.9295325587679005,0.9427788435187723,0.936108843537415,0.47099391480730224,34
Q,0.0,0.0,0.0,0.9988408596957257,34
S,0.04680851063829787,0.05583756345177665,0.05092592592592592,0.989080095549164,34
V,0.49640287769784175,0.42686699072028284,0.45901639344262296,0.9468748305957608,34
N,0.7373226331705047,0.8579064889370052,0.7930570758405003,0.02059843885516045,35
Q,0.010360138135175136,0.00857843137254902,0.009385474860335195,0.8816030218969486,35
S,0.0,0.0,0.0,0.999609919197548,35
V,0.09316770186335403,0.020891364902506964,0.034129692832764506,0.9921812242274942,35
N,0.7963202902306297,0.9732691454994615,0.8759477794880566,0.14341761115954665,36
Q,0.0,0.0,0.0,0.9998904889667634,36
S,0.0,0.0,0.0,1.0,36
V,0.5983302411873841,0.28043478260869564,0.38188277087033745,0.9760442600276625,36
N,0.8035987182647276,0.9992031384087287,0.8907893658296675,0.018235584031542632,37
Q,0.0,0.0,0.0,0.9999453312923683,37
S,0.0,0.0,0.0,0.9998027029693203,37
V,0.7926829268292683,0.034574468085106384,0.06625891946992865,0.9990806835388276,37
N,0.9905916650102696,0.761873216469629,0.8613071405939453,0.8136482939632546,38
Q,0.002020610224287735,0.6666666666666666,0.0040290088638195,0.7575474939865495,38
S,0.020833333333333332,0.01282051282051282,0.015873015873015872,0.9976856411266496,38
V,0.34797297297297297,0.15396113602391628,0.21347150259067357,0.9902114926205813,38
N,0.8259823576583801,0.960932944606414,0.8883618133793326,0.12234580384226491,39
Q,1.0,0.002874743326488706,0.005733005733005733,1.0,39
S,0.0,0.0,0.0,0.9999042649944953,39
V,0.3475982532751092,0.30474732006125577,0.324765401876785,0.9622727272727273,39
