Class,Precision,Recall,F1-Score,Specificity,seed
S,0.8235294117647058,0.025925925925925925,0.05026929982046679,0.9998598785614199,26
V,0.4727514399645547,0.7461538461538462,0.5787903444534852,0.9420077972709552,26
N,0.9025047400459036,0.9929732103645147,0.9455800094097967,0.4767005891805035,27
Q,0.9844479004665629,0.717687074829932,0.8301639344262295,0.9990092143069454,27
S,0.6666666666666666,0.003703703703703704,0.007366482504604052,0.9999532928538066,27
V,0.7560581583198708,0.32727272727272727,0.4568081991215227,0.9926413255360623,27
N,0.9139735772357723,0.9874286341677646,0.9492822461473507,0.546598821638993,28
Q,0.9261328367473619,0.8458049886621315,0.8841481481481481,0.9941048251263251,28
S,0.0,0.0,0.0,1.0,28
V,0.7723823975720789,0.3559440559440559,0.4873145045476304,0.9926900584795322,28
N,0.8608601031366797,0.9989020641194554,0.9247579600030493,0.21237279057311195,29
Q,0.9859872611464968,0.4387755102040816,0.6072969792075323,0.99945506786882,29
S,0.0,0.0,0.0,0.9999065857076133,29
V,0.6153846153846154,0.011188811188811189,0.02197802197802198,0.9995126705653021,29
N,0.875872694881795,0.9986275801493193,0.9332307297678595,0.30958757364756295,30
Q,0.9862385321100917,0.6094104308390023,0.7533286615276804,0.9992569107302091,30
S,0.8571428571428571,0.011111111111111112,0.021937842778793418,0.9999532928538066,30
V,0.8452380952380952,0.04965034965034965,0.09379128137384413,0.9993664717348928,30
N,0.9316353887399463,0.9919850680720246,0.9608635541848346,0.6448848419925013,31
Q,0.9868507560815253,0.8509070294784581,0.9138508371385083,0.9990092143069454,31
S,0.8085106382978723,0.07037037037037037,0.12947189097103917,0.9995796356842597,31
V,0.8245436105476673,0.5685314685314685,0.6730132450331126,0.9915692007797271,31
N,0.9353210034013606,0.9661286780851999,0.9504752646359905,0.674076057846813,32
Q,0.810126582278481,0.8707482993197279,0.839344262295082,0.9821658575250174,32
S,0.0,0.0,0.0,1.0,32
V,0.6777059773828756,0.5867132867132867,0.6289355322338831,0.9805555555555555,32
N,0.8966384069400631,0.9986275801493193,0.9448888427176397,0.4384038564542046,33
Q,0.9971489665003563,0.7930839002267573,0.8834859488474898,0.9998018428613891,33
S,1.0,0.001851851851851852,0.0036968576709796672,1.0,33
V,0.8449612403100775,0.15244755244755245,0.25829383886255924,0.9980506822612085,33
N,0.8930447160457469,0.998792270531401,0.9429630205498977,0.4164434922335297,34
Q,0.9853528628495339,0.8390022675736961,0.906307409675444,0.99891013573764,34
S,0.0,0.0,0.0,1.0,34
V,0.9333333333333333,0.04895104895104895,0.09302325581395349,0.9997563352826511,34
N,0.8875152699731248,0.9970904699165569,0.9391173961376387,0.38350294590251743,35
Q,0.9970566593083149,0.768140589569161,0.8677553634325968,0.9998018428613891,35
S,0.2808988764044944,0.046296296296296294,0.0794912559618442,0.9970107426436244,35
V,0.3783783783783784,0.009790209790209791,0.0190865712338105,0.9988791423001949,35
N,0.886080281621278,0.9948945981554678,0.9373399881041661,0.37600428494911625,36
